GEO_ID,Geographic_Area_Name,Estimate_Total,Percentage_Total_Built_2020_or_later,Percentage_Total_Built_2010_to_2019,Percentage_Total_Built_2000_to_2009,Percentage_Total_Built_1990_to_1999,Percentage_Total_Built_1980_to_1989,Percentage_Total_Built_1970_to_1979,Percentage_Total_Built_1960_to_1969,Percentage_Total_Built_1950_to_1959,Percentage_Total_Built_1940_to_1949,Percentage_Total_Built_1939_or_earlier
0500000US04001,"Apache County, Arizona",29042,0.0158,0.0538,0.1805,0.2072,0.1888,0.2195,0.0869,0.0225,0.0142,0.0108
0500000US04003,"Cochise County, Arizona",59769,0.0072,0.0959,0.2128,0.145,0.1439,0.1928,0.0667,0.0578,0.0244,0.0534
0500000US04005,"Coconino County, Arizona",70560,0.0237,0.1261,0.1767,0.1995,0.1887,0.1573,0.0682,0.035,0.0051,0.0197
0500000US04013,"Maricopa County, Arizona",1877560,0.0273,0.1318,0.2181,0.1676,0.1653,0.1555,0.062,0.0514,0.0123,0.0086
0500000US04015,"Mohave County, Arizona",120849,0.0253,0.1014,0.2744,0.2287,0.2042,0.1084,0.0405,0.0112,0.002,0.0042
0500000US04017,"Navajo County, Arizona",57474,0.0105,0.0684,0.2441,0.1536,0.1702,0.1788,0.0817,0.0388,0.0178,0.0359
0500000US04019,"Pima County, Arizona",479654,0.0202,0.0949,0.188,0.1592,0.1451,0.1798,0.08,0.0815,0.0298,0.0213
0500000US04021,"Pinal County, Arizona",185673,0.0628,0.184,0.4276,0.1152,0.0753,0.0638,0.0279,0.0249,0.0074,0.0112
0500000US04025,"Yavapai County, Arizona",126312,0.0294,0.1181,0.2472,0.1962,0.1732,0.1232,0.0599,0.0195,0.0077,0.0257
0500000US04027,"Yuma County, Arizona",95448,0.0163,0.1566,0.2559,0.192,0.1269,0.1298,0.0485,0.0515,0.014,0.0085
0500000US05007,"Benton County, Arkansas",122498,0.053,0.2247,0.2665,0.1693,0.1219,0.0824,0.036,0.0194,0.0085,0.0184
0500000US05031,"Craighead County, Arkansas",48935,0.0201,0.23,0.1454,0.1277,0.1336,0.1904,0.0568,0.0421,0.0232,0.0308
0500000US05045,"Faulkner County, Arkansas",53704,0.0308,0.1756,0.224,0.1949,0.1786,0.0896,0.0339,0.0353,0.0261,0.0111
0500000US05051,"Garland County, Arkansas",52898,0.0202,0.0846,0.1574,0.1479,0.1464,0.15,0.1141,0.0778,0.04,0.0615
0500000US05069,"Jefferson County, Arkansas",30680,0.0102,0.0816,0.0666,0.1671,0.1261,0.1752,0.125,0.0894,0.097,0.0617
0500000US05085,"Lonoke County, Arkansas",30924,0.033,0.1677,0.1999,0.2547,0.1256,0.1157,0.0397,0.0199,0.0066,0.0371
0500000US05119,"Pulaski County, Arkansas",193678,0.0147,0.1138,0.1337,0.1116,0.1311,0.1621,0.156,0.0873,0.041,0.0488
0500000US05125,"Saline County, Arkansas",53044,0.0288,0.2111,0.2376,0.145,0.1513,0.1173,0.0479,0.0428,0.0057,0.0124
0500000US05131,"Sebastian County, Arkansas",57485,0.0109,0.0926,0.1216,0.1316,0.1492,0.1854,0.0937,0.0958,0.0687,0.0504
0500000US05143,"Washington County, Arkansas",105702,0.0261,0.1666,0.248,0.1694,0.1285,0.1006,0.084,0.0322,0.0194,0.0254
0500000US05145,"White County, Arkansas",33721,0.0218,0.1469,0.2325,0.2151,0.0885,0.1473,0.0539,0.0449,0.0191,0.0301
0500000US06001,"Alameda County, California",633865,0.0156,0.074,0.074,0.077,0.1082,0.1346,0.1304,0.1241,0.0692,0.1929
0500000US06007,"Butte County, California",92362,0.0165,0.0967,0.1236,0.1356,0.1568,0.1512,0.0754,0.0987,0.0424,0.103
0500000US06013,"Contra Costa County, California",430051,0.0124,0.0614,0.1262,0.1163,0.1588,0.1688,0.1218,0.1276,0.0648,0.042
0500000US06017,"El Dorado County, California",94831,0.0152,0.0838,0.1459,0.1222,0.1849,0.2343,0.0941,0.0589,0.0246,0.036
0500000US06019,"Fresno County, California",345476,0.0215,0.0814,0.1622,0.1149,0.1437,0.1765,0.108,0.098,0.0393,0.0545
0500000US06023,"Humboldt County, California",62811,0.0053,0.0462,0.0962,0.1181,0.1315,0.1276,0.1069,0.1516,0.0773,0.1393
0500000US06025,"Imperial County, California",57654,0.0096,0.1201,0.1866,0.1477,0.1197,0.1556,0.0957,0.0932,0.0296,0.0423
0500000US06029,"Kern County, California",306201,0.0127,0.104,0.1852,0.1232,0.1596,0.1512,0.1032,0.087,0.0343,0.0397
0500000US06031,"Kings County, California",47255,0.0151,0.0917,0.1693,0.1548,0.1242,0.1536,0.0905,0.0858,0.0388,0.0761
0500000US06033,"Lake County, California",34379,0.0123,0.0512,0.1682,0.1135,0.1654,0.2232,0.1088,0.0869,0.0405,0.0301
0500000US06037,"Los Angeles County, California",3641935,0.0096,0.0485,0.0597,0.0597,0.1201,0.1347,0.1423,0.1862,0.0949,0.1444
0500000US06039,"Madera County, California",51034,0.0187,0.0838,0.2402,0.1548,0.1312,0.1833,0.0535,0.0541,0.0364,0.044
0500000US06041,"Marin County, California",111969,0.0038,0.0163,0.0549,0.0703,0.0972,0.209,0.1754,0.1799,0.0694,0.1239
0500000US06045,"Mendocino County, California",41733,0.0036,0.0386,0.1057,0.1051,0.1832,0.1932,0.0922,0.136,0.0563,0.0861
0500000US06047,"Merced County, California",90308,0.0289,0.0878,0.2052,0.1359,0.1284,0.1553,0.0856,0.085,0.0448,0.0432
0500000US06053,"Monterey County, California",145232,0.0041,0.0571,0.1202,0.0954,0.1594,0.1627,0.1292,0.1393,0.0592,0.0734
0500000US06055,"Napa County, California",56502,0.0127,0.0513,0.1045,0.1071,0.1431,0.1852,0.1177,0.1317,0.0514,0.0952
0500000US06057,"Nevada County, California",54357,0.0174,0.053,0.1397,0.1803,0.2124,0.223,0.0774,0.0383,0.0228,0.0356
0500000US06059,"Orange County, California",1146379,0.0121,0.0866,0.0879,0.1075,0.1541,0.2093,0.179,0.1179,0.0178,0.0277
0500000US06061,"Placer County, California",179167,0.0274,0.1282,0.2416,0.1692,0.1384,0.1269,0.0703,0.0414,0.0194,0.0372
0500000US06065,"Riverside County, California",867961,0.0176,0.1079,0.2454,0.125,0.2003,0.1418,0.068,0.0567,0.0149,0.0223
0500000US06067,"Sacramento County, California",599343,0.0128,0.0633,0.1642,0.1169,0.1606,0.1749,0.1067,0.1156,0.04,0.045
0500000US06069,"San Benito County, California",21437,0.0192,0.162,0.1538,0.1536,0.1722,0.1189,0.0717,0.0532,0.0217,0.0736
0500000US06071,"San Bernardino County, California",742136,0.0156,0.0629,0.1443,0.1206,0.2334,0.1561,0.0905,0.1022,0.0373,0.0369
0500000US06073,"San Diego County, California",1247279,0.0112,0.0746,0.123,0.1069,0.1883,0.2197,0.1132,0.0949,0.0269,0.0413
0500000US06075,"San Francisco County, California",414553,0.0137,0.0727,0.0642,0.039,0.0496,0.0663,0.0839,0.0722,0.0849,0.4534
0500000US06077,"San Joaquin County, California",259492,0.022,0.0804,0.1753,0.1303,0.1423,0.1564,0.0886,0.0945,0.0469,0.0633
0500000US06079,"San Luis Obispo County, California",125857,0.0208,0.074,0.1429,0.1262,0.1874,0.2025,0.0929,0.0719,0.0359,0.0455
0500000US06081,"San Mateo County, California",287401,0.0048,0.0605,0.0535,0.058,0.0978,0.1563,0.154,0.2086,0.1188,0.0878
0500000US06083,"Santa Barbara County, California",160910,0.0097,0.0542,0.0835,0.084,0.1792,0.1817,0.1797,0.1126,0.0355,0.0798
0500000US06085,"Santa Clara County, California",697026,0.0174,0.0956,0.0989,0.0889,0.1124,0.1886,0.1751,0.1415,0.0351,0.0465
0500000US06087,"Santa Cruz County, California",107121,0.0057,0.0426,0.0862,0.068,0.1264,0.2181,0.1462,0.1005,0.0689,0.1374
0500000US06089,"Shasta County, California",80113,0.0058,0.0522,0.1273,0.1555,0.2018,0.2075,0.0825,0.1013,0.0391,0.027
0500000US06095,"Solano County, California",164666,0.0098,0.0647,0.1079,0.1443,0.2191,0.1817,0.0945,0.0784,0.0381,0.0615
0500000US06097,"Sonoma County, California",208444,0.0102,0.0741,0.1157,0.1343,0.165,0.1948,0.1154,0.0783,0.0428,0.0694
0500000US06099,"Stanislaus County, California",184680,0.0089,0.0449,0.1565,0.1465,0.1705,0.1876,0.0741,0.0948,0.0503,0.066
0500000US06101,"Sutter County, California",34774,0.0064,0.0453,0.1808,0.1569,0.1224,0.1513,0.1629,0.0778,0.0299,0.0664
0500000US06103,"Tehama County, California",27666,0.003,0.0358,0.0995,0.1691,0.2146,0.1763,0.0908,0.1033,0.0244,0.0833
0500000US06107,"Tulare County, California",154181,0.0171,0.0873,0.1633,0.1405,0.136,0.1671,0.1097,0.0694,0.0496,0.0601
0500000US06111,"Ventura County, California",296132,0.013,0.0457,0.1216,0.0941,0.1833,0.2301,0.1743,0.0832,0.0258,0.029
0500000US06113,"Yolo County, California",82455,0.0188,0.0786,0.1914,0.1237,0.1356,0.1601,0.117,0.099,0.0236,0.0521
0500000US06115,"Yuba County, California",30803,0.0167,0.1072,0.2453,0.1009,0.133,0.1126,0.0718,0.1046,0.0455,0.0625
0500000US08001,"Adams County, Colorado",196598,0.0359,0.1382,0.1997,0.1433,0.1146,0.1442,0.0984,0.0903,0.0141,0.0212
0500000US08005,"Arapahoe County, Colorado",269150,0.0202,0.0949,0.1545,0.1341,0.2147,0.2241,0.0757,0.0538,0.0132,0.0148
0500000US08013,"Boulder County, Colorado",144419,0.0248,0.1171,0.1261,0.1855,0.1408,0.19,0.0949,0.0535,0.0172,0.05
0500000US08014,"Broomfield County, Colorado",32822,0.0271,0.3125,0.2133,0.1639,0.0797,0.1325,0.0395,0.0308,0.0007,0
0500000US08031,"Denver County, Colorado",361212,0.0337,0.1689,0.1062,0.0599,0.0697,0.1217,0.0971,0.1211,0.0533,0.1684
0500000US08035,"Douglas County, Colorado",144387,0.0548,0.2157,0.2857,0.2626,0.1179,0.0464,0.0075,0.0042,0.0011,0.0042
0500000US08041,"El Paso County, Colorado",304249,0.0246,0.1523,0.1719,0.1318,0.1625,0.1532,0.0852,0.062,0.0104,0.0462
0500000US08059,"Jefferson County, Colorado",253959,0.0196,0.0878,0.1019,0.1261,0.1666,0.2407,0.1262,0.0887,0.0218,0.0206
0500000US08069,"Larimer County, Colorado",164525,0.0273,0.1696,0.2007,0.1583,0.1422,0.1559,0.0525,0.0295,0.0153,0.0486
0500000US08077,"Mesa County, Colorado",69987,0.0282,0.1109,0.1806,0.1533,0.1524,0.1921,0.053,0.0558,0.0202,0.0535
0500000US08101,"Pueblo County, Colorado",73902,0.0093,0.0705,0.1561,0.1206,0.0529,0.1519,0.1012,0.1326,0.0424,0.1625
0500000US08123,"Weld County, Colorado",128978,0.055,0.2326,0.2492,0.1002,0.0713,0.1278,0.0525,0.0425,0.0164,0.0524
0500000US09110,"Capitol Planning Region, Connecticut",416049,0.0053,0.0507,0.0579,0.0711,0.1341,0.1296,0.1531,0.1587,0.0579,0.1818
0500000US09120,"Greater Bridgeport Planning Region, Connecticut",125936,0.0052,0.0306,0.0365,0.0608,0.1177,0.1221,0.112,0.1818,0.1124,0.2208
0500000US09130,"Lower Connecticut River Valley Planning Region, Connecticut",82977,0.0009,0.0573,0.1104,0.0936,0.1191,0.1599,0.117,0.1004,0.038,0.2035
0500000US09140,"Naugatuck Valley Planning Region, Connecticut",192471,0.009,0.0322,0.0558,0.0853,0.1429,0.1504,0.114,0.1424,0.0632,0.2049
0500000US09150,"Northeastern Connecticut Planning Region, Connecticut",41744,0.0311,0.0352,0.1124,0.1251,0.1386,0.1062,0.111,0.0986,0.0378,0.2041
0500000US09160,"Northwest Hills Planning Region, Connecticut",55766,0.0098,0.0399,0.075,0.0843,0.1601,0.1316,0.0873,0.1231,0.0465,0.2424
0500000US09170,"South Central Connecticut Planning Region, Connecticut",248117,0.0062,0.0471,0.0522,0.0763,0.1326,0.1141,0.1293,0.1616,0.0603,0.2204
0500000US09180,"Southeastern Connecticut Planning Region, Connecticut",126076,0.0107,0.0346,0.0851,0.0867,0.1424,0.1384,0.1144,0.1087,0.0332,0.2458
0500000US09190,"Western Connecticut Planning Region, Connecticut",251156,0.0103,0.0833,0.0929,0.0687,0.1174,0.1391,0.1381,0.1413,0.0448,0.1641
0500000US10001,"Kent County, Delaware",76896,0.0209,0.1595,0.2437,0.1564,0.1026,0.115,0.0785,0.0528,0.0208,0.0497
0500000US10003,"New Castle County, Delaware",236639,0.0088,0.0754,0.0907,0.1273,0.1267,0.1311,0.1295,0.1486,0.0525,0.1093
0500000US10005,"Sussex County, Delaware",152269,0.0618,0.234,0.2463,0.14,0.11,0.0912,0.04,0.0254,0.0172,0.0339
0500000US11001,"District of Columbia, District of Columbia",360862,0.03,0.1337,0.0663,0.0333,0.0496,0.0673,0.095,0.1153,0.0952,0.3143
0500000US12001,"Alachua County, Florida",127548,0.0246,0.1175,0.1789,0.1577,0.1845,0.1769,0.0807,0.0465,0.015,0.0178
0500000US12005,"Bay County, Florida",108667,0.038,0.1462,0.2477,0.1287,0.2143,0.1115,0.0453,0.0355,0.0195,0.0133
0500000US12009,"Brevard County, Florida",299110,0.0214,0.0931,0.1878,0.1406,0.2301,0.109,0.1415,0.0601,0.0059,0.0106
0500000US12011,"Broward County, Florida",867195,0.0129,0.0631,0.1124,0.1345,0.1756,0.2611,0.1328,0.0916,0.0103,0.0058
0500000US12015,"Charlotte County, Florida",118231,0.0289,0.1151,0.2646,0.1591,0.2165,0.1259,0.0639,0.0195,0.0025,0.0039
0500000US12017,"Citrus County, Florida",84835,0.033,0.0754,0.2239,0.1559,0.2518,0.1853,0.0439,0.0224,0.0056,0.0028
0500000US12019,"Clay County, Florida",88986,0.0412,0.1168,0.2767,0.1822,0.1621,0.1282,0.0555,0.0208,0.0107,0.0059
0500000US12021,"Collier County, Florida",240252,0.0335,0.1502,0.2175,0.2347,0.1987,0.1253,0.0278,0.0087,0.0017,0.002
0500000US12023,"Columbia County, Florida",30327,0.0328,0.1028,0.2309,0.2144,0.1402,0.1483,0.0513,0.0283,0.0264,0.0246
0500000US12031,"Duval County, Florida",454248,0.0285,0.1213,0.1832,0.1236,0.1484,0.1078,0.0983,0.102,0.0413,0.0456
0500000US12033,"Escambia County, Florida",149477,0.0292,0.1045,0.1503,0.1398,0.1635,0.1602,0.0984,0.0953,0.0232,0.0355
0500000US12035,"Flagler County, Florida",60760,0.0531,0.1727,0.3849,0.1618,0.1629,0.0527,0.0087,0.0032,0,0
0500000US12053,"Hernando County, Florida",92457,0.011,0.0875,0.2071,0.1606,0.3225,0.1571,0.031,0.0165,0.001,0.0058
0500000US12055,"Highlands County, Florida",58591,0.007,0.0605,0.154,0.1888,0.292,0.1675,0.0444,0.037,0.0245,0.0243
0500000US12057,"Hillsborough County, Florida",628477,0.032,0.1557,0.1894,0.1299,0.1873,0.1267,0.0696,0.0609,0.0202,0.0285
0500000US12061,"Indian River County, Florida",86507,0.0327,0.0973,0.2255,0.1507,0.2137,0.1832,0.0479,0.0387,0.0058,0.0045
0500000US12069,"Lake County, Florida",186806,0.0369,0.1653,0.2366,0.1801,0.1532,0.1002,0.0495,0.0435,0.0123,0.0223
0500000US12071,"Lee County, Florida",442078,0.0321,0.1322,0.2944,0.1535,0.1891,0.1217,0.0479,0.0189,0.0038,0.0064
0500000US12073,"Leon County, Florida",137749,0.0168,0.1241,0.1838,0.1401,0.2058,0.1617,0.0747,0.0618,0.0148,0.0164
0500000US12081,"Manatee County, Florida",220657,0.0503,0.1749,0.159,0.1176,0.1762,0.1598,0.0826,0.0523,0.0085,0.0188
0500000US12083,"Marion County, Florida",187971,0.0393,0.0907,0.2383,0.1902,0.1972,0.1501,0.0505,0.0242,0.007,0.0125
0500000US12085,"Martin County, Florida",82922,0.0174,0.0457,0.1725,0.1469,0.2904,0.2036,0.0561,0.0419,0.0113,0.0141
0500000US12086,"Miami-Dade County, Florida",1095510,0.0175,0.0988,0.1339,0.1049,0.1591,0.1629,0.1191,0.1252,0.0487,0.03
0500000US12087,"Monroe County, Florida",54871,0.0315,0.0656,0.0906,0.1335,0.2375,0.2055,0.1065,0.0657,0.0223,0.0412
0500000US12089,"Nassau County, Florida",45226,0.0846,0.2339,0.2491,0.1824,0.1115,0.067,0.0303,0.0227,0.0101,0.0083
0500000US12091,"Okaloosa County, Florida",103502,0.0267,0.1504,0.1668,0.1633,0.1819,0.1812,0.0734,0.0436,0.0085,0.0042
0500000US12095,"Orange County, Florida",587980,0.0318,0.1627,0.2075,0.1641,0.1729,0.1031,0.0648,0.0673,0.0133,0.0125
0500000US12097,"Osceola County, Florida",172174,0.0573,0.2235,0.2708,0.1887,0.1586,0.0473,0.0231,0.0176,0.0029,0.0102
0500000US12099,"Palm Beach County, Florida",720792,0.0154,0.0789,0.1483,0.1505,0.2774,0.1831,0.0722,0.0471,0.011,0.0162
0500000US12101,"Pasco County, Florida",272027,0.0512,0.1336,0.2029,0.1461,0.1876,0.1943,0.055,0.0211,0.0038,0.0043
0500000US12103,"Pinellas County, Florida",519872,0.0084,0.0544,0.0751,0.0901,0.1898,0.2599,0.1246,0.1336,0.0292,0.0349
0500000US12105,"Polk County, Florida",340780,0.0442,0.1422,0.2095,0.1238,0.1636,0.1559,0.0612,0.057,0.0105,0.0321
0500000US12107,"Putnam County, Florida",36369,0.0042,0.0445,0.1408,0.1819,0.2698,0.1607,0.0705,0.0531,0.0207,0.0539
0500000US12109,"St. Johns County, Florida",133453,0.0784,0.2795,0.2284,0.1346,0.1326,0.0859,0.0244,0.0162,0.0026,0.0174
0500000US12111,"St. Lucie County, Florida",160613,0.0557,0.1169,0.2687,0.1502,0.223,0.1113,0.0262,0.0303,0.0083,0.0094
0500000US12113,"Santa Rosa County, Florida",80367,0.0585,0.1935,0.216,0.1908,0.136,0.1019,0.0611,0.0309,0.0039,0.0073
0500000US12115,"Sarasota County, Florida",266148,0.0393,0.1195,0.1923,0.1193,0.197,0.169,0.0804,0.0621,0.0075,0.0137
0500000US12117,"Seminole County, Florida",199612,0.0221,0.1052,0.1654,0.1612,0.2309,0.2025,0.0596,0.0375,0.0061,0.0096
0500000US12119,"Sumter County, Florida",84239,0.0732,0.3535,0.3268,0.1045,0.0648,0.0266,0.0231,0.0129,0.0074,0.0071
0500000US12127,"Volusia County, Florida",282238,0.0314,0.0825,0.1695,0.1266,0.2386,0.1548,0.0777,0.0805,0.0159,0.0225
0500000US12131,"Walton County, Florida",61070,0.0364,0.2316,0.2617,0.2024,0.144,0.0578,0.0253,0.0104,0.0119,0.0186
0500000US13013,"Barrow County, Georgia",32278,0.0584,0.1721,0.3374,0.1711,0.0816,0.0545,0.0415,0.0477,0.0168,0.0191
0500000US13015,"Bartow County, Georgia",44578,0.0596,0.0843,0.2235,0.2212,0.1547,0.0937,0.0531,0.0442,0.0465,0.0192
0500000US13021,"Bibb County, Georgia",71942,0.0061,0.0972,0.0925,0.1135,0.1456,0.1378,0.1285,0.1421,0.051,0.0858
0500000US13031,"Bulloch County, Georgia",34199,0.0097,0.1449,0.2217,0.2379,0.1052,0.103,0.0865,0.0339,0.0058,0.0514
0500000US13045,"Carroll County, Georgia",48002,0.0415,0.075,0.2482,0.1877,0.1475,0.1201,0.0675,0.0427,0.0305,0.0392
0500000US13047,"Catoosa County, Georgia",28554,0.0301,0.0731,0.2461,0.2024,0.1193,0.1194,0.0734,0.0715,0.041,0.0237
0500000US13051,"Chatham County, Georgia",137606,0.0319,0.1444,0.1638,0.1038,0.1297,0.1147,0.0686,0.1072,0.0453,0.0905
0500000US13057,"Cherokee County, Georgia",106402,0.0556,0.2024,0.2871,0.1817,0.1465,0.0728,0.025,0.0095,0.0097,0.0098
0500000US13059,"Clarke County, Georgia",57768,0.0255,0.0819,0.221,0.1297,0.1142,0.1492,0.1398,0.0584,0.0251,0.0552
0500000US13063,"Clayton County, Georgia",115851,0.0111,0.1146,0.1949,0.1446,0.1876,0.1598,0.1054,0.0515,0.0252,0.0053
0500000US13067,"Cobb County, Georgia",314332,0.0169,0.1026,0.1846,0.1815,0.2401,0.1438,0.0692,0.0445,0.0089,0.0081
0500000US13073,"Columbia County, Georgia",61873,0.0379,0.2449,0.2086,0.1772,0.1612,0.1344,0.021,0.0119,0.003,0
0500000US13077,"Coweta County, Georgia",59656,0.0251,0.166,0.2796,0.2252,0.134,0.0597,0.0237,0.0158,0.0103,0.0607
0500000US13089,"DeKalb County, Georgia",330765,0.0255,0.0955,0.1759,0.1196,0.1547,0.1462,0.123,0.096,0.027,0.0366
0500000US13095,"Dougherty County, Georgia",40652,0.012,0.0359,0.0804,0.1241,0.1366,0.2335,0.1911,0.1322,0.0399,0.0143
0500000US13097,"Douglas County, Georgia",56516,0.0218,0.0877,0.3365,0.1684,0.1597,0.1166,0.0674,0.0246,0.011,0.0064
0500000US13103,"Effingham County, Georgia",26002,0.0283,0.2434,0.2705,0.1749,0.1183,0.0858,0.0305,0.0244,0.0014,0.0224
0500000US13113,"Fayette County, Georgia",46567,0.0271,0.1529,0.1773,0.2517,0.2117,0.1467,0.0244,0,0.0013,0.007
0500000US13115,"Floyd County, Georgia",40908,0.0148,0.0775,0.1293,0.0982,0.1419,0.1734,0.1275,0.1079,0.0513,0.0783
0500000US13117,"Forsyth County, Georgia",92781,0.0458,0.2942,0.3105,0.2231,0.0722,0.0256,0.0181,0.0063,0.0033,0.0009
0500000US13121,"Fulton County, Georgia",502818,0.0265,0.1582,0.2156,0.1268,0.1443,0.1028,0.0815,0.0568,0.0306,0.0569
0500000US13127,"Glynn County, Georgia",43183,0.0223,0.1535,0.1821,0.1342,0.153,0.1109,0.0829,0.085,0.0397,0.0364
0500000US13135,"Gwinnett County, Georgia",340482,0.0301,0.1405,0.2452,0.2285,0.2189,0.0916,0.0252,0.008,0.0065,0.0055
0500000US13139,"Hall County, Georgia",81270,0.052,0.1456,0.2502,0.1661,0.1328,0.0813,0.0703,0.0568,0.0136,0.0314
0500000US13151,"Henry County, Georgia",91269,0.0393,0.1545,0.3455,0.2562,0.1004,0.0493,0.0303,0.0062,0.004,0.0144
0500000US13153,"Houston County, Georgia",69382,0.0201,0.1658,0.2345,0.1675,0.1532,0.1223,0.091,0.0352,0.0056,0.0047
0500000US13157,"Jackson County, Georgia",30710,0.0785,0.2238,0.3128,0.1579,0.0719,0.0731,0.0331,0.0098,0.0006,0.0384
0500000US13179,"Liberty County, Georgia",27669,0.0429,0.1677,0.1514,0.2217,0.1923,0.1642,0.031,0.0196,0.0047,0.0044
0500000US13185,"Lowndes County, Georgia",51659,0.0239,0.1227,0.2529,0.158,0.1222,0.1189,0.0676,0.0839,0.0122,0.0377
0500000US13215,"Muscogee County, Georgia",92103,0.0075,0.0912,0.1268,0.1017,0.1472,0.1214,0.136,0.1258,0.0735,0.0688
0500000US13217,"Newton County, Georgia",43826,0.0412,0.1164,0.292,0.166,0.1222,0.137,0.0591,0.0204,0.0137,0.032
0500000US13223,"Paulding County, Georgia",63519,0.037,0.1324,0.3696,0.2235,0.1176,0.0656,0.023,0.0141,0.0013,0.0159
0500000US13245,"Richmond County, Georgia",93172,0.0265,0.1151,0.1037,0.1235,0.1741,0.1489,0.1142,0.0914,0.0345,0.0681
0500000US13247,"Rockdale County, Georgia",35915,0.0219,0.1097,0.1777,0.1684,0.2075,0.1899,0.0606,0.03,0.0048,0.0295
0500000US13255,"Spalding County, Georgia",28776,0.0196,0.1277,0.1475,0.1587,0.1541,0.1305,0.1015,0.0404,0.0715,0.0485
0500000US13285,"Troup County, Georgia",29637,0.0155,0.116,0.1678,0.1635,0.1366,0.1608,0.0517,0.0746,0.0739,0.0398
0500000US13295,"Walker County, Georgia",29709,0.006,0.0285,0.1679,0.1381,0.1119,0.1483,0.111,0.159,0.0654,0.0639
0500000US13297,"Walton County, Georgia",37536,0.0277,0.1814,0.2758,0.1995,0.1176,0.0723,0.0485,0.0225,0.0232,0.0318
0500000US13313,"Whitfield County, Georgia",39947,0.0032,0.0677,0.2054,0.1673,0.1715,0.1411,0.1294,0.0804,0.0088,0.0251
